product_name,description,price,quantity,tag,image
Zack Dotted Casual Long Sleeve Shirt,"A sample description, hope you know lorem ipsum, have you heard about it?","6,800",40,10,man.jpg
Dotted Pattern Long Sleeve Shir,"A sample description, hope you know lorem ipsum, have you heard about it?","7,000",40,11,man1.jpg
Contrast Spread Collar Long Sleeve Shirt,"A sample description, hope you know lorem ipsum, have you heard about it?","8,000",40,12,man2.jpg
Terry V Front Pattern Long Sleeve Shirt,"A sample description, hope you know lorem ipsum, have you heard about it?","4,500",40,14,man3.jpg
Ashish Patterned Spread Collar Shirt,"A sample description, hope you know lorem ipsum, have you heard about it?","6,900",40,10,man4.jpg
Jay Spread Collar Long Sleeve Shirt,"A sample description, hope you know lorem ipsum, have you heard about it?","2,900",40,11,man5.jpg
Mason Patterned Long Sleeve Shirt,"A sample description, hope you know lorem ipsum, have you heard about it?","5,667",40,12,man6.jpg
Bob Plain Formal Long Sleeve Shirt,"A sample description, hope you know lorem ipsum, have you heard about it?","7,890",40,14,man7.jpg
Damien Plain Long Sleeve Shirt,"A sample description, hope you know lorem ipsum, have you heard about it?","7,650",40,10,man8.jpg
Men&#039;s Checkered Shirts,"A sample description, hope you know lorem ipsum, have you heard about it?","7,500",40,11,man.jpg
Men&#039;s Zayden Pin-Down Long Sleeve Shirt,"A sample description, hope you know lorem ipsum, have you heard about it?","6,500",40,12,man1.jpg
Leo  Men's Zayden Pin-Down Long Sleeve Shirt,"A sample description, hope you know lorem ipsum, have you heard about it?","5,500",40,14,man1.jpg
Men&#039;s Delan Patterned Body Fit Long Sleeve Shirt,"A sample description, hope you know lorem ipsum, have you heard about it?","6,999",40,10,man2.jpg
Nichiha Pin-Down Contrast Long Sleeve Shirt,"A sample description, hope you know lorem ipsum, have you heard about it?","6,500",40,11,man3.jpg
Jack Lace Patterned Long Sleeve Shirt - White,"A sample description, hope you know lorem ipsum, have you heard about it?","7,999",40,12,man4.jpg
Bachan Dot Pattern Long Sleeve Shrt,"A sample description, hope you know lorem ipsum, have you heard about it?","8,999",40,14,man5.jpg
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
